gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,decimalLatitude,decimalLongitude,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,catalogNumber,recordNumber,license,rightsHolder,recordedBy
2859483912,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.811989,-78.602517,2019-05-11T00:00:00,11,5,2019,3189883,3189883,PRESERVED_SPECIMEN,CM,CM539090,26897,CC0_1_0,Carnegie Museum of Natural History,Isaac
2859481590,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.3594,-75.8747,2017-04-29T00:00:00,29,4,2017,3189883,3189883,PRESERVED_SPECIMEN,CM,CM534300,24101,CC0_1_0,Carnegie Museum of Natural History,Isaac
2859479256,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.569814,-79.952189,2005-07-21T00:00:00,21,7,2005,3189883,3189883,PRESERVED_SPECIMEN,CM,CM516068,142,CC0_1_0,Carnegie Museum of Natural History,Parker
2859479131,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,,,1979-04-22T00:00:00,22,4,1979,3189883,3189883,PRESERVED_SPECIMEN,CM,CM330771,s.n.,CC0_1_0,Carnegie Museum of Natural History,Nee
2859478953,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,trilobum,VARIETY,Acer rubrum var. trilobum Torr. & Gray ex K.Koch,US,43.588376,-71.512019,1971-08-10T00:00:00,10,8,1971,4272376,3189883,PRESERVED_SPECIMEN,CM,CM184568,163,CC0_1_0,Carnegie Museum of Natural History,Henry
2859478951,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,CA,,,1912-06-25T00:00:00,25,6,1912,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184504,362,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859478904,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,trilobum,VARIETY,Acer rubrum var. trilobum Torr. & Gray ex K.Koch,US,41.17307,-75.40529,,,,,4272376,3189883,PRESERVED_SPECIMEN,CM,CM063474,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859478898,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.415169,-79.755673,1920-06-06T00:00:00,6,6,1920,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063351,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859478894,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.51689,-80.112459,1931-10-31T00:00:00,31,10,1931,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063287,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859478893,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.51962,-79.88988,1905-04-08T00:00:00,8,4,1905,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063268,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859478892,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.209174,-76.924793,1908-07-15T00:00:00,15,7,1908,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063249,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859478890,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.204698,-80.286409,1940-05-12T00:00:00,12,5,1940,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063213,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859478193,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.499718,-79.097006,1996-08-03T00:00:00,3,8,1996,3189883,3189883,PRESERVED_SPECIMEN,CM,CM475393,9222,CC0_1_0,Carnegie Museum of Natural History,Isaac
2859478166,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.63872,-79.75833,1991-04-28T00:00:00,28,4,1991,3189883,3189883,PRESERVED_SPECIMEN,CM,CM380874,493,CC0_1_0,Carnegie Museum of Natural History,Zanol
