"Dolichoderus taschenbergi"
"Tapinoma sessile"
"Brachymyrmex depilis"
"Brachymyrmex obscurior"
"Camponotus herculeanus"
"Camponotus laevigatus"
"Camponotus modoc"
"Camponotus nearcticus"
"Camponotus novaeboracensis"
"Camponotus vicinus"
"Formica accreta"
"Formica adamsi"
"Formica altipetens"
"Formica aserva"
"Formica argentea"
"Formica bradleyi"
"Formica canadensis"
"Formica dakotensis"
"Formica longiventris"
"Formica emeryi"
"Formica fossaceps"
"Formica fusca"
"Formica glacialis"
"Formica hewitti"
"Formica impexa"
"Formica integroides"
"Formica lasioides"
"Formica limata"
"Formica microgyna"
"Formica montana"
"Formica neoclara"
"Formica gagates"
"Formica rufibarbis"
"Formica obscuripes"
"Formica obscuriventris"
"Formica obtusopilosa"
"Formica opaciventris"
"Formica oreas"
"Formica perpilosa"
"Formica planipilis"
"Formica podzolica"
"Formica puberula"
"Formica gravida"
"Formica rubicunda"
"Formica subintegra"
"Formica subnitens"
"Formica subpolita"
"Formica ulkei"
"Lasius alienus"
"Nysius angustatus"
"Lasius crypticus"
"Lasius fallax"
"Lasius flavus"
"Lasius latipes"
"Lasius neoniger"
"Lasius niger"
"Lasius pallitarsis"
"Acanthomyops subglaber"
"Lasius subumbratus"
"Lasius umbratus"
"Polyergus breviceps"
"Formicoxenus hirticornis"
"Formicoxenus quebecensis"
"Formicoxenus provancheri"
"Harpagoxenus canadensis"
"Leptothorax athabasca"
"Leptothorax faberi"
"Leptothorax muscorum"
"Leptothorax retractus"
"Leptothorax wilsoni"
"Manica hunteri"
"Manica invidia"
"Monomorium firmum"
"Monomorium pharaonis"
"Myrmica alaskensis"
"Myrmica americana"
"Myrmica brevispinosa"
"Myrmica crassirugis"
"Myrmica fracticornis"
"Myrmica fracticornis"
"Myrmica incompleta"
"Myrmica lobifrons"
"Myrmica lobifrons"
"Myrmica nearctica"
"Pogonomyrmex occidentalis"
"Pogonomyrmex salinus"
"Solenopsis molesta"
"Temnothorax ambiguus"
"Temnothorax formosus"
"Temnothorax rugatulus"
